slug,name,borough,tagline,description,image_url,highlight,badge,created_at,updated_at
astoria,The Best of Astoria,Queens,"Phyllo, honey & olives from 30th Avenue.",A walk down 30th Avenue without leaving your apartment.,/assets/box-astoria.jpg,false,,2026-04-27 00:14:34.752865+00,2026-04-27 00:14:34.752865+00
bushwick-taqueria,Bushwick Taqueria,Brooklyn,"Al pastor, salsa verde & churros from Knickerbocker.","Al pastor, salsa verde & churros from Knickerbocker.",/assets/box-bushwick.jpg,false,,2026-05-07 01:01:18.878842+00,2026-05-07 01:01:18.878842+00
chinatown-market,Chinatown Market,Manhattan,"Dim sum, chili crisp & oolong from Mott Street.","Dim sum, chili crisp & oolong from Mott Street.",/assets/box-chinatown.jpg,false,,2026-05-07 00:58:00.464312+00,2026-05-07 00:58:00.464312+00
harlem-soul,Harlem Soul,Manhattan,"Cornbread, hot sauce & sweet potato pie.","Cornbread, hot sauce & sweet potato pie.",/assets/box-harlem.jpg,false,,2026-05-07 00:47:55.777984+00,2026-05-07 00:47:55.777984+00
long-island-city,The Best of Long Island City,Queens,"Sourdough, cold brew & Brooklyn-roasted comfort.","A pilot box from the LIC waterfront - slow-fermented sourdough, hand-rolled bagels, and small-batch pantry staples.",/assets/box-lic.jpg,true,Pilot Neighborhood,2026-04-27 00:14:34.752865+00,2026-04-27 00:14:34.752865+00
lower-east-side,Lower East Side Classics,Manhattan,"Black-and-white cookies, knishes & a Sunday babka.","The deli classics that built the LES, gathered into one box.",/assets/box-les.jpg,false,,2026-04-27 00:14:34.752865+00,2026-04-27 00:14:34.752865+00
park-slope-pantry,Park Slope Pantry,Brooklyn,"Fresh pasta, marinara & cold-pressed olive oil.","Fresh pasta, marinara & cold-pressed olive oil.",/assets/box-park-slope.jpg,false,,2026-05-07 00:56:26.164657+00,2026-05-07 00:56:26.164657+00
upper-west-side-brunch,Upper West Side Brunch,Manhattan,"Smoked salmon, bagels & a pot of Earl Grey.","Smoked salmon, bagels & a pot of Earl Grey.",/assets/box-upper-west-side.jpg,false,,2026-05-07 01:03:14.842028+00,2026-05-07 01:03:14.842028+00
west-village,West Village Essentials,Manhattan,"Croissants, brie, charcuterie - a Sunday morning, boxed.",An unhurried West Village brunch in a single delivery.,/assets/box-west-village.jpg,false,,2026-04-27 00:14:34.752865+00,2026-04-27 00:14:34.752865+00
williamsburg-provisions,Williamsburg Provisions,Brooklyn,"Craft beer, aged cheddar & wood-fired bread.","Craft beer, aged cheddar & wood-fired bread.",/assets/box-williamsburg.jpg,false,,2026-05-07 00:43:49.557505+00,2026-05-07 00:43:49.557505+00